gene_id,ZT6_Ctl1,ZT6_Ctl2,ZT6_Ctl3,ZT6_SD1,ZT6_SD2,ZT6_SD3
ENSMUSG00000070942|Il1rl2,18,24,66,27,44,9
ENSMUSG00000026072|Il1r1,116,142,294,196,196,123
ENSMUSG00000026069|Il1rl1,16,9,28,0,21,15
ENSMUSG00000026065|Slc9a4,2,26,86,26,120,16
ENSMUSG00000103270|Gm37915,15,0,13,16,8,12
ENSMUSG00000041945|Mfsd9,161,234,274,190,294,184
ENSMUSG00000026062|Slc9a2,317,202,457,181,354,276
ENSMUSG00000100832|Gm29260,25,15,17,22,13,6
ENSMUSG00000101299|Gm28175,147,84,153,68,118,102
ENSMUSG00000003135|Cnot11,878,1015,1351,1060,1304,1069
ENSMUSG00000048234|Rnf149,716,949,1251,998,1221,896
ENSMUSG00000026074|Map4k4,3394,4229,6305,4540,5972,4079
ENSMUSG00000097899|Gm16894,37,44,64,34,34,41
ENSMUSG00000026073|Il1r2,5,16,19,18,6,11
ENSMUSG00000085894|Gm15832,41,31,61,44,72,51
ENSMUSG00000050967|Creg2,6163,7663,9851,5714,7267,5461
ENSMUSG00000097083|D930019O06Rik,138,189,278,200,174,138
ENSMUSG00000102985|4930456G14Rik,20,19,46,13,24,26
ENSMUSG00000100480|Gm29156,12,20,22,9,13,6
ENSMUSG00000026051|Ecrg4,68,38,394,56,67,82
ENSMUSG00000100701|Gm19587,31,32,60,48,38,33
ENSMUSG00000057363|Uxs1,1728,2016,2836,2061,2533,1960
ENSMUSG00000008136|Fhl2,1434,1802,2569,1945,1640,1324
ENSMUSG00000066877|Nck2,939,1377,1835,1238,1698,1211
ENSMUSG00000094497|Gm8210,77,90,115,90,110,79
ENSMUSG00000103945|Gm38228,20,9,15,7,8,11
ENSMUSG00000026049|Tex30,89,156,256,177,191,154
ENSMUSG00000026047|Poglut2,307,276,343,224,339,222
ENSMUSG00000041763|Tpp2,2256,2694,3553,2194,3103,2477
ENSMUSG00000060424|Pantr1,1194,1281,1951,1599,2200,1392
ENSMUSG00000097063|Pantr2,62,38,139,94,142,85
ENSMUSG00000060679|Mrps9,714,922,1485,932,1152,821
ENSMUSG00000041907|Gpr45,323,449,648,402,554,333
ENSMUSG00000070939|Tgfbrap1,1947,2449,3384,2318,2881,2115
ENSMUSG00000045515|Pou3f3,3858,3757,5810,4542,6126,4676
ENSMUSG00000093436|Gm20646,115,135,140,89,123,93
ENSMUSG00000099784|Dalir,85,89,187,61,71,98
ENSMUSG00000041878|8430432A02Rik,25,27,31,26,29,7
ENSMUSG00000010290|AI597479,1028,1320,1858,1192,1558,1175
ENSMUSG00000041684|Bivm,660,855,1323,798,1094,731
ENSMUSG00000026048|Ercc5,735,800,1230,842,1014,806
ENSMUSG00000026043|Col3a1,233,193,207,157,173,115
ENSMUSG00000056870|Gulp1,111,192,260,65,139,62
ENSMUSG00000026042|Col5a2,173,124,252,110,157,79
ENSMUSG00000025995|Wdr75,818,1007,1357,961,1418,1005
ENSMUSG00000025993|Slc40a1,259,603,653,377,445,285
ENSMUSG00000084817|Gm5526,111,174,234,196,237,163
ENSMUSG00000081185|Gm4852,11,11,26,14,14,12
ENSMUSG00000100033|Gm8337,85,106,101,138,141,150
ENSMUSG00000041144|Dnah7b,216,239,339,177,275,170
ENSMUSG00000101337|Dnah7c,310,330,488,324,353,232
ENSMUSG00000025986|Slc39a10,10756,13354,16646,13588,16114,13006
ENSMUSG00000101262|Gm8326,66,78,129,111,109,83
ENSMUSG00000100213|Gm28151,61,103,112,65,81,57
ENSMUSG00000026107|Nabp1,278,435,634,420,603,370
ENSMUSG00000026109|Tmeff2,1516,2400,3319,2394,3068,2194
ENSMUSG00000099625|Gm29325,6,0,33,7,11,14
ENSMUSG00000101799|9330175M20Rik,8,15,10,8,16,0
ENSMUSG00000045954|Cavin2,299,443,450,386,504,372
ENSMUSG00000018417|Myo1b,2164,2195,2622,1359,1747,1170
ENSMUSG00000100007|Gm5527,14,16,18,16,31,11
ENSMUSG00000002881|Nab1,886,1231,1627,1248,1549,1029
ENSMUSG00000103630|Gm37242,7,23,34,14,13,14
ENSMUSG00000043015|Nemp2,165,149,280,176,150,162
ENSMUSG00000026102|Inpp1,1044,1271,1703,1131,1459,1089
ENSMUSG00000041439|Mfsd6,3180,3855,5662,4033,5152,4090
ENSMUSG00000026100|Mstn,8,7,31,11,12,6
ENSMUSG00000041426|Hibch,366,486,795,527,591,442
ENSMUSG00000043629|1700019D03Rik,547,702,901,493,787,528
ENSMUSG00000026104|Stat1,626,695,1022,736,954,715
ENSMUSG00000026103|Gls,13401,16072,20861,14280,18185,14094
ENSMUSG00000062939|Stat4,96,103,121,102,98,87
ENSMUSG00000078291|Gm3940,13,9,15,30,15,9
ENSMUSG00000109599|Gm31812,20,12,33,12,16,10
ENSMUSG00000026094|Stk17b,454,450,581,352,524,319
ENSMUSG00000026098|Pms1,110,133,238,169,149,105
ENSMUSG00000026097|Ormdl1,185,338,429,281,323,215
ENSMUSG00000026096|Osgepl1,442,627,790,422,547,409
ENSMUSG00000099913|Gm28551,27,37,73,0,56,12
ENSMUSG00000026095|Asnsd1,614,840,928,761,924,782
ENSMUSG00000096141|Dnah7a,51,83,95,73,89,40
ENSMUSG00000041303|Gtf3c3,1372,1497,2200,1439,1961,1434
ENSMUSG00000073678|Pgap1,1303,1548,2129,1317,2092,1511
ENSMUSG00000042807|Hecw2,3760,4056,5350,2266,3062,2177
ENSMUSG00000052331|Ankrd44,452,493,685,452,540,382
ENSMUSG00000025981|Coq10b,854,791,1185,831,1136,860
ENSMUSG00000101122|Gm17971,20,23,13,3,22,3
ENSMUSG00000025982|Sf3b1,9574,9817,15157,8333,12578,8727
ENSMUSG00000025980|Hspd1,4530,5728,7665,6154,7968,5873
ENSMUSG00000073676|Hspe1,1161,1531,2367,2158,2414,1591
ENSMUSG00000099950|9130227L01Rik,12,11,14,23,22,13
ENSMUSG00000101429|BC055402,12,8,10,23,13,3
ENSMUSG00000038331|Satb2,2444,2611,3325,2485,2810,2392
ENSMUSG00000087022|9130024F11Rik,1110,1299,1507,775,1009,798
ENSMUSG00000104310|Gm4081,51,30,72,38,32,21
ENSMUSG00000120334,11,9,12,2,21,14
ENSMUSG00000025978|Rftn2,861,963,1393,758,1275,780
ENSMUSG00000097649|Gm10561,98,158,242,75,214,153
ENSMUSG00000038349|Plcl1,949,1461,1900,1356,1847,1376
ENSMUSG00000025979|Mob4,2044,2757,3962,2536,3909,2813
ENSMUSG00000046994|Mars2,824,981,1466,986,1323,847
ENSMUSG00000100215|Gm8292,7,26,15,18,25,15
ENSMUSG00000101085|Gm8531,13,17,26,17,24,19
ENSMUSG00000102145|Gm38056,69,84,125,90,122,75
ENSMUSG00000048495|Tyw5,310,390,579,452,548,386
ENSMUSG00000038323|1700066M21Rik,1043,1413,2026,1268,1718,1098
ENSMUSG00000025971|Maip1,521,723,926,682,843,614
ENSMUSG00000054770|Kctd18,300,419,685,362,430,327
ENSMUSG00000026039|Sgo2a,35,49,72,47,31,54
ENSMUSG00000038305|Spats2l,1153,1188,1511,1195,1529,1176
ENSMUSG00000063558|Aox1,183,228,316,159,277,242
ENSMUSG00000064294|Aox3,99,59,90,58,86,55
ENSMUSG00000038242|Aox4,29,60,114,53,31,32
ENSMUSG00000051223|Bzw1,7388,9404,13731,8904,12478,9572
ENSMUSG00000103839|Gm37607,119,120,181,49,145,79
ENSMUSG00000121483|Gm20257,14,28,67,25,43,20
ENSMUSG00000026031|Cflar,449,535,803,554,702,531
ENSMUSG00000059647|Cbx3-ps7,169,214,311,177,225,172
ENSMUSG00000026035|Ppil3,371,478,699,422,594,380
ENSMUSG00000026036|Nif3l1,668,937,1273,918,1305,927
ENSMUSG00000026037|Orc2,1111,1170,1731,1141,1507,1044
ENSMUSG00000085054|Gm15834,19,22,36,10,21,0
ENSMUSG00000038174|Hycc2,4609,5286,7654,5181,7460,5670
ENSMUSG00000026034|Clk1,2963,3006,5297,2939,4332,3028
ENSMUSG00000026032|Ndufb3,1257,1789,2604,2171,2619,1723
ENSMUSG00000026029|Casp8,63,96,139,118,146,112
ENSMUSG00000026027|Stradb,1438,1605,2257,1548,1874,1320
ENSMUSG00000026028|Trak2,6010,8719,10763,8415,10478,7395
ENSMUSG00000102549|Gm38137,11,14,8,2,2,11
ENSMUSG00000081382|Rpl18-ps1,79,101,142,124,166,91
ENSMUSG00000052062|Pard3b,106,141,166,114,131,87
ENSMUSG00000025969|Nrp2,873,1013,1711,723,1038,676
ENSMUSG00000084333|Gm11599,15,16,22,17,21,16
ENSMUSG00000115378|Gm39653,2,8,6,22,11,16
ENSMUSG00000025963|Mdh1b,36,32,34,31,32,19
ENSMUSG00000044689|Gm13749,27,20,27,12,12,11
ENSMUSG00000025962|Fastkd2,509,607,938,770,1045,703
ENSMUSG00000025961|4933402D24Rik,36,34,26,40,53,34
ENSMUSG00000038079|Tmem237,642,775,1112,809,1062,776
ENSMUSG00000079550|Mpp4,15,31,58,25,66,24
ENSMUSG00000026024|Als2,1849,2125,2710,2466,2997,2214
ENSMUSG00000026023|Cdk15,27,34,61,19,27,18
ENSMUSG00000047361|Gm973,195,203,363,173,290,240
ENSMUSG00000026021|Sumo1,2135,3187,4025,3023,4148,2858
ENSMUSG00000026020|Nop58,1243,1426,2284,1328,1871,1475
ENSMUSG00000041040|Fam117b,2526,2832,4048,2562,3286,2414
ENSMUSG00000026018|Ica1l,1226,1719,2263,1688,2042,1663
ENSMUSG00000026019|Wdr12,1181,1469,1953,1616,2059,1454
ENSMUSG00000026017|Carf,545,823,994,400,689,499
ENSMUSG00000073664|Nbeal1,978,973,1550,874,1448,1106
ENSMUSG00000026782|Abi2,7397,9671,12304,7547,9943,7955
ENSMUSG00000026014|Raph1,2548,2754,3458,2561,3297,2523
ENSMUSG00000026012|Cd28,14,14,10,9,20,9
ENSMUSG00000097573|G730003C15Rik,41,41,95,26,61,52
ENSMUSG00000101586|Gm29017,16,10,47,10,11,7
ENSMUSG00000041075|Fzd7,298,193,383,178,241,153
ENSMUSG00000103821|D430013B06Rik,10,11,17,0,8,4
ENSMUSG00000119961,28,36,37,18,33,12
ENSMUSG00000067336|Bmpr2,5689,7500,10146,5949,8035,6482
ENSMUSG00000082609|Gm15464,14,23,24,15,23,18
ENSMUSG00000049439|Cyp20a1,287,315,472,300,460,291
ENSMUSG00000082160|Gm11578,79,95,131,95,99,79
ENSMUSG00000101188|Eif4a-ps4,364,578,723,548,693,559
ENSMUSG00000120928,8,7,16,10,14,12
ENSMUSG00000025964|Adam23,6467,7501,9955,5707,6391,4922
ENSMUSG00000040865|Ino80d,950,1061,1444,1003,1277,935
ENSMUSG00000084799|Ino80dos,151,145,263,87,157,129
ENSMUSG00000025968|Ndufs1,4971,6301,8972,5937,7374,5406
ENSMUSG00000025967|Eef1b2,2774,3614,5292,4306,5116,3566
ENSMUSG00000046856|Gpr1,29,8,56,26,34,21
ENSMUSG00000027520|Zdbf2,809,650,1120,924,1442,1020
ENSMUSG00000101599|Gm20342,118,129,144,90,142,79
ENSMUSG00000081643|Gm11605,107,126,208,150,177,138
ENSMUSG00000025959|Klf7,1453,2223,2630,1574,2066,1715
ENSMUSG00000025956|Mettl21a,216,344,415,287,398,297
ENSMUSG00000025958|Creb1,1637,2098,3033,1927,2838,2408
ENSMUSG00000045005|Fzd5,18,77,61,78,79,69
ENSMUSG00000102140|Gm38058,5,11,13,12,4,8
ENSMUSG00000087213|2810408I11Rik,17,4,18,11,25,16
ENSMUSG00000070871|Ccnyl1,528,732,940,664,853,585
ENSMUSG00000084416|Rpl10a-ps1,395,558,782,615,680,515
ENSMUSG00000100774|Gm7329,28,35,48,41,34,25
ENSMUSG00000051344|Plekhm3,1860,1996,2591,1952,2141,1765
ENSMUSG00000044816|D630023F18Rik,83,190,251,92,106,110
ENSMUSG00000025950|Idh1,947,1456,2045,1101,1425,893
ENSMUSG00000025946|Pth2r,72,66,118,12,42,7
ENSMUSG00000025949|Pikfyve,2231,2417,3264,2264,3014,2284
ENSMUSG00000015222|Map2,34059,37776,50659,31102,47132,38172
ENSMUSG00000073656|Gm10558,5,9,13,0,10,14
ENSMUSG00000025997|Ikzf2,87,100,198,50,132,69
ENSMUSG00000055567|Unc80,12621,14124,18534,12965,17126,12650
ENSMUSG00000026005|Rpe,657,845,1407,966,1347,914
ENSMUSG00000026004|Kansl1l,407,426,630,392,489,319
ENSMUSG00000026003|Acadl,836,1002,1631,1009,1367,857
ENSMUSG00000061816|Myl1,0,13,24,10,15,0
ENSMUSG00000026000|Lancl1,6407,7351,9998,6913,7981,6481
ENSMUSG00000103375|Gm37181,23,55,105,40,45,33
ENSMUSG00000102559|Gm37570,22,53,52,30,44,19
ENSMUSG00000102374|Gm38387,33,26,68,16,42,19
ENSMUSG00000102776|Gm38162,35,27,45,29,34,22
ENSMUSG00000103706|6820402A03Rik,20,6,14,3,15,0
ENSMUSG00000103756|Gm37285,11,8,18,1,6,13
ENSMUSG00000121280,23,31,45,19,22,24
ENSMUSG00000082769|Gm15793,7,6,18,8,12,11
ENSMUSG00000094191|Rpl31-ps14,27,37,39,43,54,43
ENSMUSG00000025991|Cps1,28,28,47,14,9,13
ENSMUSG00000045648|Vwc2l,273,484,681,293,528,336
ENSMUSG00000026196|Bard1,16,27,40,16,35,21
ENSMUSG00000050296|Abca12,21,15,25,20,22,13
ENSMUSG00000062209|Erbb4,2668,3266,4325,2677,3693,2977
ENSMUSG00000026192|Atic,1003,1117,1698,1085,1303,1042
ENSMUSG00000026193|Fn1,2918,2189,2912,2095,2858,2311
ENSMUSG00000039395|Mreg,136,193,231,191,242,121
ENSMUSG00000026189|Pecr,123,128,196,106,95,70
ENSMUSG00000121277,63,82,82,105,116,63
ENSMUSG00000026188|Tmem169,460,633,976,650,888,657
ENSMUSG00000026187|Xrcc5,591,824,1051,793,1019,666
ENSMUSG00000110712|Gm39662,24,30,44,25,34,45
ENSMUSG00000039354|Smarcal1,1650,1586,2517,1808,2062,1669
ENSMUSG00000039372|Marchf4,609,1030,1101,942,1134,800
ENSMUSG00000046330|Rpl37a,2861,3608,4987,4226,4915,3494
ENSMUSG00000026185|Igfbp5,5402,6021,7887,4371,5460,3675
ENSMUSG00000039323|Igfbp2,1128,1235,2123,1485,1515,1083
ENSMUSG00000055322|Tns1,1211,1386,2017,1932,2321,1717
ENSMUSG00000006304|Arpc2,5669,7085,10628,7946,10218,8031
ENSMUSG00000026213|Stk11ip,1194,1265,1577,1365,1385,1213
ENSMUSG00000100553|Gm17751,10,24,19,9,17,9
ENSMUSG00000006576|Slc4a3,4939,5159,7602,5804,6004,4767
ENSMUSG00000101849|Gm28386,26,21,48,16,16,14
ENSMUSG00000120831,77,80,68,48,74,44
ENSMUSG00000118426|Gm2102,9,5,12,14,17,15
ENSMUSG00000090486|BC035947,24,27,21,48,30,7
ENSMUSG00000026235|Epha4,8846,8811,13026,8008,10762,8808
ENSMUSG00000026245|Farsb,1591,1850,2710,2055,2648,1938
